global_name	region_name	sub_region_name	intermediate_region_name	country_area_name	country_area_m49_code	country_area_iso_alpha3_code	country_area_least_developed_countries_ldc	country_area_land_locked_developing_countries_lldc	country_area_small_island_developing_states_sids	country_area_development_status
World	Africa	Northern Africa		Algeria	12	DZA				Developing
World	Africa	Northern Africa		Egypt	818	EGY				Developing
World	Africa	Northern Africa		Libya	434	LBY				Developing
World	Africa	Northern Africa		Morocco	504	MAR				Developing
World	Africa	Northern Africa		Sudan	729	SDN	x			Developing
World	Africa	Northern Africa		Tunisia	788	TUN				Developing
World	Africa	Northern Africa		Western Sahara	732	ESH				Developing
World	Africa	Sub-Saharan Africa	Eastern Africa	British Indian Ocean Territory	86	IOT				Developing
World	Africa	Sub-Saharan Africa	Eastern Africa	Burundi	108	BDI	x	x		Developing
World	Africa	Sub-Saharan Africa	Eastern Africa	Comoros	174	COM	x		x	Developing
World	Africa	Sub-Saharan Africa	Eastern Africa	Djibouti	262	DJI	x			Developing
World	Africa	Sub-Saharan Africa	Eastern Africa	Eritrea	232	ERI	x			Developing
World	Africa	Sub-Saharan Africa	Eastern Africa	Ethiopia	231	ETH	x	x		Developing
World	Africa	Sub-Saharan Africa	Eastern Africa	French Southern Territories	260	ATF				Developing
World	Africa	Sub-Saharan Africa	Eastern Africa	Kenya	404	KEN				Developing
World	Africa	Sub-Saharan Africa	Eastern Africa	Madagascar	450	MDG	x			Developing
World	Africa	Sub-Saharan Africa	Eastern Africa	Malawi	454	MWI	x	x		Developing
World	Africa	Sub-Saharan Africa	Eastern Africa	Mauritius	480	MUS			x	Developing
World	Africa	Sub-Saharan Africa	Eastern Africa	Mayotte	175	MYT				Developing
World	Africa	Sub-Saharan Africa	Eastern Africa	Mozambique	508	MOZ	x			Developing
World	Africa	Sub-Saharan Africa	Eastern Africa	Réunion	638	REU				Developing
World	Africa	Sub-Saharan Africa	Eastern Africa	Rwanda	646	RWA	x	x		Developing
World	Africa	Sub-Saharan Africa	Eastern Africa	Seychelles	690	SYC			x	Developing
World	Africa	Sub-Saharan Africa	Eastern Africa	Somalia	706	SOM	x			Developing
World	Africa	Sub-Saharan Africa	Eastern Africa	South Sudan	728	SSD	x	x		Developing
World	Africa	Sub-Saharan Africa	Eastern Africa	Uganda	800	UGA	x	x		Developing
World	Africa	Sub-Saharan Africa	Eastern Africa	United Republic of Tanzania	834	TZA	x			Developing
World	Africa	Sub-Saharan Africa	Eastern Africa	Zambia	894	ZMB	x	x		Developing
World	Africa	Sub-Saharan Africa	Eastern Africa	Zimbabwe	716	ZWE		x		Developing
World	Africa	Sub-Saharan Africa	Middle Africa	Angola	24	AGO	x			Developing
World	Africa	Sub-Saharan Africa	Middle Africa	Cameroon	120	CMR				Developing
World	Africa	Sub-Saharan Africa	Middle Africa	Central African Republic	140	CAF	x	x		Developing
World	Africa	Sub-Saharan Africa	Middle Africa	Chad	148	TCD	x	x		Developing
World	Africa	Sub-Saharan Africa	Middle Africa	Congo	178	COG				Developing
World	Africa	Sub-Saharan Africa	Middle Africa	Democratic Republic of the Congo	180	COD	x			Developing
World	Africa	Sub-Saharan Africa	Middle Africa	Equatorial Guinea	226	GNQ				Developing
World	Africa	Sub-Saharan Africa	Middle Africa	Gabon	266	GAB				Developing
World	Africa	Sub-Saharan Africa	Middle Africa	Sao Tome and Principe	678	STP	x		x	Developing
World	Africa	Sub-Saharan Africa	Southern Africa	Botswana	72	BWA		x		Developing
World	Africa	Sub-Saharan Africa	Southern Africa	Eswatini	748	SWZ		x		Developing
World	Africa	Sub-Saharan Africa	Southern Africa	Lesotho	426	LSO	x	x		Developing
World	Africa	Sub-Saharan Africa	Southern Africa	Namibia	516	NAM				Developing
World	Africa	Sub-Saharan Africa	Southern Africa	South Africa	710	ZAF				Developing
World	Africa	Sub-Saharan Africa	Western Africa	Benin	204	BEN	x			Developing
World	Africa	Sub-Saharan Africa	Western Africa	Burkina Faso	854	BFA	x	x		Developing
World	Africa	Sub-Saharan Africa	Western Africa	Cabo Verde	132	CPV			x	Developing
World	Africa	Sub-Saharan Africa	Western Africa	Côte d'Ivoire	384	CIV				Developing
World	Africa	Sub-Saharan Africa	Western Africa	Gambia	270	GMB	x			Developing
World	Africa	Sub-Saharan Africa	Western Africa	Ghana	288	GHA				Developing
World	Africa	Sub-Saharan Africa	Western Africa	Guinea	324	GIN	x			Developing
World	Africa	Sub-Saharan Africa	Western Africa	Guinea-Bissau	624	GNB	x		x	Developing
World	Africa	Sub-Saharan Africa	Western Africa	Liberia	430	LBR	x			Developing
World	Africa	Sub-Saharan Africa	Western Africa	Mali	466	MLI	x	x		Developing
World	Africa	Sub-Saharan Africa	Western Africa	Mauritania	478	MRT	x			Developing
World	Africa	Sub-Saharan Africa	Western Africa	Niger	562	NER	x	x		Developing
World	Africa	Sub-Saharan Africa	Western Africa	Nigeria	566	NGA				Developing
World	Africa	Sub-Saharan Africa	Western Africa	Saint Helena	654	SHN				Developing
World	Africa	Sub-Saharan Africa	Western Africa	Senegal	686	SEN	x			Developing
World	Africa	Sub-Saharan Africa	Western Africa	Sierra Leone	694	SLE	x			Developing
World	Africa	Sub-Saharan Africa	Western Africa	Togo	768	TGO	x			Developing
World	Americas	Latin America and the Caribbean	Caribbean	Anguilla	660	AIA			x	Developing
World	Americas	Latin America and the Caribbean	Caribbean	Antigua and Barbuda	28	ATG			x	Developing
World	Americas	Latin America and the Caribbean	Caribbean	Aruba	533	ABW			x	Developing
World	Americas	Latin America and the Caribbean	Caribbean	Bahamas	44	BHS			x	Developing
World	Americas	Latin America and the Caribbean	Caribbean	Barbados	52	BRB			x	Developing
World	Americas	Latin America and the Caribbean	Caribbean	Bonaire, Sint Eustatius and Saba	535	BES			x	Developing
World	Americas	Latin America and the Caribbean	Caribbean	British Virgin Islands	92	VGB			x	Developing
World	Americas	Latin America and the Caribbean	Caribbean	Cayman Islands	136	CYM				Developing
World	Americas	Latin America and the Caribbean	Caribbean	Cuba	192	CUB			x	Developing
World	Americas	Latin America and the Caribbean	Caribbean	Curaçao	531	CUW			x	Developing
World	Americas	Latin America and the Caribbean	Caribbean	Dominica	212	DMA			x	Developing
